comment_id,target,opinion,sentiment,confidence
886175366,breakfast,incl,POS,0.9978
886175366,Breakfast,substantial,POS,0.9996
886175366,room,large,POS,1.0
886175366,room,clean,POS,1.0
886175366,aircon,good,POS,1.0
886175366,bathroom,huge,POS,0.9996
886175366,balcony,big,POS,0.9999
886175366,balcony,bright,POS,0.9999
886175366,balcony,airy,POS,0.7367
751602005,rooms,disappointing,NEG,1.0
751602005,rooms,outdated,NEG,1.0
751602005,amenities,No,NEG,1.0
751602005,ac,cold,NEG,0.9614
751602005,room,cold,NEG,0.9983
751602005,Breakfast,minimal,NEG,1.0
736659114,Room,clean,POS,1.0
736659114,room,cleaned,POS,1.0
736659114,Staff,amazing,POS,1.0
736659114,Staff,smiling,POS,1.0
736659114,restaurants,Great,POS,0.9894
736659114,cafe,fantastic,POS,0.9966
4393020,bakery,happy,POS,1.0
4393020,supermarket,happy,POS,1.0
4393020,pool,clean,POS,1.0
4393020,bakery,fabulous,POS,1.0
4393020,supermarket,fabulous,POS,1.0
4393020,bakery,modern,POS,1.0
4393020,supermarket,modern,POS,1.0
5438719,staff,friendly,POS,1.0
5438719,staff,helpful,POS,1.0
5438719,Pool,great,POS,0.9964
5438719,hotel,safe,POS,1.0
5438719,hotel,quiet,POS,1.0
5438719,Staff,friendly,POS,0.9995
105053946,rooms,basic,NEU,1.0
105053946,rooms,old,NEG,0.9616
105053946,pool,enjoyed,POS,0.9994
105053946,cons,great,POS,0.5531
340119793,room,great,POS,0.9998
340119793,room,spacious,POS,0.9992
340119793,bathroom,big,POS,1.0
340119793,balcony,big,POS,1.0
340119793,wardrobe,big,POS,0.5628
340119793,rooms,cleaned,POS,0.9999
340119793,rooms,well,POS,0.9504
340119793,location,good,POS,0.9999
340119793,alleyway,shady,POS,0.5137
124637732,bed,clean,POS,0.9989
124637732,room,cool,POS,0.9979
124637732,gardens,amazing,POS,0.9718
124637732,everyone,friendly,POS,1.0
121724578,stay,adequate,POS,1.0
121724578,room,cool,POS,1.0
117884167,staff,fantastic,POS,1.0
117884167,manager,speciial,POS,0.8942
117884167,manager,thanks,POS,0.9993
685101496,view,great,POS,1.0
685101496,pool,rim,POS,1.0
685101496,gym,rim,POS,0.98
685101496,rooms,comfy,POS,1.0
295558103,hotel,worst,NEG,1.0
295558103,rooms,dirty,NEG,0.9998
295558103,Staff,old,NEG,0.6951
295558103,rooms,old,NEG,0.9998
295558103,rooms,depressing,NEG,0.9672
295558103,Breakfast,passable,POS,0.9992
227816563,pool,Nice,POS,0.9998
227816563,rooms,clean,POS,1.0
227816563,gardens,lovely,POS,1.0
227816563,place,perfect,POS,1.0
227816563,tiles,broken,NEG,0.9869
209982822,accommodation,affordable,POS,1.0
209982822,accommodation,close,POS,0.9462
209982822,airport,close,POS,0.583
107068313,place,terrible,NEG,0.9784
107068313,place,okay,NEU,0.9899
107068313,sleep,okay,NEU,0.568
107068313,place,needs,NEG,1.0
467159630,drink,cold,POS,0.7445
467159630,rooms,neat,POS,1.0
467159630,rooms,clean,POS,0.9998
467159630,restaurant,basic,NEU,1.0
467159630,food,amazing,POS,1.0
467159630,hotel,cheap,POS,0.8263
467159630,feeling,relaxing,POS,0.9879
304503322,location,Excellent,POS,1.0
304503322,staff,painful,NEG,0.7952
304503322,Breakfast,poor,NEG,1.0
304503322,staff,issues,NEG,0.9991
217696913,Airport,close,POS,0.9996
217696913,Kids,loved,POS,0.9907
207804376,location,great,POS,1.0
207804376,staff,friendly,POS,1.0
207804376,bathrooms,updated,POS,0.9999
207804376,shopping,happy,POS,0.5066
207804376,menu,simple,NEU,0.6701
207804376,touring,clean,POS,0.6248
207804376,shopping,clean,POS,0.9221
207070237,experience,great,POS,0.9996
207070237,hotel,humble,POS,1.0
207070237,hotel,sufficient,POS,0.4287
207070237,money,value,POS,0.8138
207070237,airport,Close,POS,0.7469
207070237,engineering,quaint,POS,1.0
207070237,skills,quaint,POS,0.9998
207070237,engineering,smile,POS,0.9778
207070237,skills,smile,POS,0.9664
142685672,manager,friendliness,POS,0.6608
142685672,staff,friendliness,POS,0.7772
142685672,Pool,lovely,POS,1.0
142685672,gardens,pretty,POS,1.0
130559223,sheets,clean,POS,1.0
130559223,staff,clean,POS,1.0
130559223,staff,friendly,POS,1.0
116001939,Staff,sceptical,POS,0.686
