comment_id,target,opinion,sentiment,confidence
886175366,which,poor,NEG,0.9997
886175366,pay,whinge,NEG,0.5003
886175366,Breakfast,substantial,POS,1.0
886175366,room,large,POS,1.0
886175366,room,clean,POS,0.9998
886175366,aircon,has good,POS,0.9998
886175366,bathroom,huge,POS,1.0
886175366,waiting,issue,NEG,0.5794
886175366,balcony,big,POS,1.0
886175366,balcony,bright,POS,0.9999
886175366,balcony,airy,POS,0.9997
751602005,rooms,outdated,NEG,1.0
751602005,rooms,don ’ t seem very clean,NEG,1.0
751602005,hand soap,No amenities,NEG,0.9217
751602005,bath towels,No amenities,NEG,0.8209
751602005,ac,dripped,NEG,0.9999
751602005,staff,not friendly,NEG,1.0
751602005,staff,didn ’ t help,NEG,0.9994
751602005,Breakfast,minimal,NEG,0.812
751602005,Breakfast,not very good,NEG,1.0
751602005,location,plus side,POS,0.9998
751602005,pool,plus side,POS,0.9996
751602005,resort,nicer,POS,0.9843
736659114,stay,hesitant,POS,0.555
736659114,room 306,Stayed,NEU,1.0
736659114,Room,clean,POS,1.0
736659114,Room,well maintained,POS,1.0
736659114,room,cleaned,POS,1.0
736659114,air con,Great,POS,1.0
736659114,Staff,amazing,POS,1.0
736659114,Staff,smiling,POS,1.0
736659114,money,highly recommend,POS,0.9861
736659114,rates,great,POS,1.0
736659114,lippo mall,Close,POS,0.683
736659114,lippo mall,pricey,NEG,0.9951
736659114,restaurants,Great,POS,1.0
736659114,restaurants,near,POS,1.0
736659114,cafe,fantastic,POS,1.0
736659114,pork ribs,best,POS,0.9999
736659114,Breakfast,included,POS,0.4311
736659114,price,included,POS,0.3867
736659114,Breakfast,basic,NEU,0.834
736659114,price,basic,NEU,0.7364
4393020,location,happy,POS,1.0
4393020,pool,clean,POS,1.0
4393020,beach,walking distance,POS,0.9999
4393020,Kuta,10 minute walk,POS,0.4931
4393020,bakery,fabulous,POS,0.7658
4393020,supermarket,fabulous,POS,0.862
5438719,Beach Cottages,loved,POS,1.0
5438719,budget hotel,good,POS,1.0
5438719,flight,long,NEG,0.9937
5438719,staff,friendly,POS,1.0
5438719,staff,helpful,POS,0.9998
5438719,guests,enjoyed,POS,1.0
5438719,Pool,great,POS,1.0
5438719,staff,NO rudeness,POS,0.9341
5438719,Everyone,eager to help,POS,1.0
5438719,hotel,safe,POS,1.0
5438719,hotel,quiet,POS,1.0
5438719,shops,along the road,POS,0.9427
5438719,Staff,friendly,POS,1.0
5438719,across,Right,POS,0.9973
105053946,rooms,adjoining,POS,0.9582
105053946,rooms,basic,NEU,0.6788
105053946,rooms,old,NEG,0.4865
105053946,pool,enjoyed,POS,0.9998
105053946,loungers,enjoyed,POS,1.0
105053946,air cons,great,POS,0.9991
105053946,Waterbom Park,10 mins walk,POS,0.822
105053946,Discovery Plaza,10 mins walk,POS,0.6493
340119793,double room,great,POS,0.5689
340119793,room,great,POS,0.7317
340119793,double room,spacious,POS,0.5546
340119793,rooms,cleaned,POS,1.0
340119793,location,good,POS,0.9999
340119793,location,quiet down a side road,POS,0.9988
340119793,Lippo Mall,next,POS,0.8119
340119793,cinema,next,POS,0.509
340119793,restaurants,next,POS,0.5635
340119793,beach,short walk,POS,0.7536
340119793,price,free,POS,0.9856
124637732,place,good,POS,1.0
124637732,bed,clean,POS,0.9996
124637732,room,cool,POS,0.9999
124637732,pool area,great,POS,0.9974
124637732,water in the pool,clean,POS,0.9129
124637732,pool bar,does not open,NEG,0.9944
124637732,restuarant,right,POS,0.9998
124637732,gardens,amazing,POS,1.0
124637732,Hotel,safe,POS,1.0
124637732,everyone,friendly,POS,1.0
124637732,budget travel,really good,POS,0.5012
124637732,budget travel person,really good,POS,0.8832
121724578,Bakung Beach Cottages,stayed,POS,0.5527
121724578,stay,adequate,POS,0.9999
121724578,place,worst,NEG,1.0
121724578,place,horrible,NEG,1.0
117884167,budget hotel,Best,POS,0.9997
117884167,staff,fantastic,POS,1.0
117884167,management,fantastic,POS,0.9996
117884167,Hotel,needs an upgrade,NEG,1.0
685101496,rim pool,great,POS,0.852
685101496,gym,great,POS,0.9648
685101496,restaurant,great,POS,0.7354
685101496,gym,great view,POS,0.5563
685101496,restaurant,great view,POS,0.5594
685101496,rooms,comfy,POS,1.0
685101496,BAKUNG,does well,POS,0.3457
295558103,hotel,worst,NEG,1.0
295558103,rooms,dirty,NEG,0.9989
295558103,fridge,filthy,NEG,0.5951
295558103,sheets,threadbare,NEG,0.9951
295558103,towels,threadbare,NEG,0.9965
295558103,sheets,dirty colour,NEG,1.0
295558103,towels,dirty colour,NEG,1.0
295558103,Staff,not rude,POS,0.9273
295558103,Staff,no help,NEG,0.9999
295558103,rooms,old,NEG,0.9999
295558103,rooms,depressing,NEG,0.9992
295558103,Breakfast,passable,POS,1.0
227816563,place,clearly on the way up,POS,0.9999
227816563,improvements,LOTS,POS,1.0
227816563,price,gem,POS,0.7576
227816563,place,gem,POS,0.9602
227816563,pool,Nice,POS,0.9997
227816563,rooms,clean,POS,0.997
227816563,gardens,lovely,POS,0.9959
227816563,Water pressure,little light,NEG,1.0
227816563,pool,broken tiles,NEG,1.0
227816563,Breakfast,bit lean,NEG,0.9991
227816563,cat,mangy,NEG,0.9664
227816563,cat floating,mangy,NEG,0.659
209982822,Beach Hotel,comfortable,POS,0.9997
209982822,Beach Hotel,affordable,POS,0.9989
209982822,This,convenient,POS,0.999
209982822,shopping malls,close,POS,0.9998
209982822,Lippomall,right next door,POS,0.6428
209982822,Discovery Mall,right next door,POS,0.7716
209982822,Discovery Mall,15 minute walk,POS,0.9149
209982822,cupboard space,varied,POS,0.9998
209982822,terrace,has,NEU,1.0
107068313,room,filthy,NEG,1.0
107068313,room,smelt of moth balls,NEG,0.8775
107068313,bathroom,didn ' t want to use,NEG,0.697
107068313,hotels,terrible,NEG,0.5182
107068313,rack rates,cheaper,POS,0.6072
107068313,place,needs to lift its game,NEG,1.0
467159630,reception,refreshing smile,POS,0.5042
467159630,rooms,neat,POS,0.9997
467159630,rooms,clean,POS,0.9993
467159630,bathrooms,big,POS,0.9936
467159630,bathrooms,clean,POS,0.9834
467159630,pool,large,POS,0.8436
467159630,main street,end of the lane,POS,0.5714
467159630,stall sellers,lovely,POS,0.9854
304503322,location,Excellent,POS,0.9999
304503322,room,had,POS,0.2746
304503322,room,backed into the mall,NEG,0.4526
304503322,motorbikes,backed into the mall,NEG,0.4632
304503322,Room,not cleaned,NEG,1.0
304503322,Breakfast,poor,NEG,1.0
304503322,pool bar,not open,NEG,0.9992
304503322,staff,issues,NEG,0.9998
217696913,property,used,NEG,0.2769
217696913,life,easy,POS,0.8333
217696913,Booking online,easy,POS,0.9903
217696913,Booking online,affordable,POS,0.9959
217696913,it,loved,POS,0.9978
217696913,Lippo mall,New,POS,0.9889
