comment_id,target,opinion,sentiment,confidence
886175366,breakfast,incl,POS,0.5098
886175366,Breakfast,substantial,POS,0.9992
886175366,room,large,POS,1.0
886175366,room,clean,POS,1.0
886175366,aircon,good,POS,1.0
886175366,bathroom,huge,POS,0.9997
886175366,balcony,big,POS,0.9999
886175366,balcony,bright,POS,1.0
886175366,balcony,airy,POS,0.9342
751602005,rooms,outdated,NEG,1.0
751602005,Breakfast,outdated,NEG,0.9973
751602005,rooms,minimal,POS,0.6025
751602005,Breakfast,minimal,POS,0.9992
736659114,Room,clean,POS,1.0
736659114,room,cleaned,POS,1.0
736659114,Staff,amazing,POS,0.9999
736659114,Staff,smiling,POS,0.9984
736659114,restaurants,near,POS,0.524
736659114,Staff,basic,NEU,0.9995
4393020,location,happy,POS,0.9997
4393020,supermarket,happy,POS,0.9941
4393020,pool,clean,POS,1.0
4393020,bakery,fabulous,POS,1.0
4393020,bakery,modern,POS,1.0
4393020,supermarket,modern,POS,0.9813
5438719,staff,friendly,POS,1.0
5438719,staff,helpful,POS,1.0
5438719,hotel,helpful,POS,0.9958
5438719,staff,safe,POS,1.0
5438719,hotel,safe,POS,1.0
5438719,staff,quiet,POS,1.0
5438719,hotel,quiet,POS,1.0
5438719,Staff,friendly,POS,1.0
105053946,rooms,basic,NEU,1.0
105053946,rooms,old,NEG,0.9982
105053946,pool,enjoyed,POS,0.9964
340119793,value,great,POS,1.0
340119793,room,great,POS,0.9999
340119793,room,spacious,POS,0.9935
340119793,location,good,POS,1.0
340119793,location,quiet,POS,1.0
124637732,gardens,amazing,POS,1.0
124637732,Hotel,safe,POS,0.6731
121724578,stay,adequate,POS,1.0
121724578,room,cool,POS,1.0
121724578,place,worst,NEG,0.8391
121724578,place,horrible,NEG,0.9996
117884167,staff,fantastic,POS,1.0
685101496,view,great,POS,1.0
685101496,rooms,quiet,POS,1.0
685101496,rooms,comfy,POS,1.0
295558103,hotel,worst,NEG,1.0
295558103,rooms,dirty,NEG,1.0
295558103,Breakfast,dirty,NEG,0.5481
295558103,colour,dirty,NEG,1.0
227816563,pool,Nice,POS,1.0
227816563,rooms,clean,POS,1.0
227816563,gardens,lovely,POS,1.0
227816563,place,perfect,POS,1.0
227816563,tiles,broken,NEG,1.0
209982822,rooms,comfortable,POS,0.9404
209982822,rooms,small,NEG,0.9926
209982822,fridge,small,NEG,0.616
107068313,room,filthy,NEG,1.0
107068313,place,filthy,NEG,0.9988
467159630,rooms,neat,POS,1.0
467159630,rooms,clean,POS,0.9992
467159630,bathrooms,big,POS,0.9683
467159630,restaurant,big,POS,0.955
467159630,bathrooms,clean,POS,0.998
467159630,restaurant,clean,POS,0.999
467159630,food,clean,POS,0.9992
467159630,restaurant,basic,NEU,1.0
467159630,food,basic,NEU,0.9998
467159630,food,amazing,POS,1.0
467159630,hotel,cheap,POS,1.0
467159630,feeling,relaxing,POS,0.7444
304503322,location,Excellent,POS,1.0
304503322,Breakfast,poor,NEG,0.9999
304503322,skin,sensitive,NEG,1.0
217696913,pool,close,POS,0.9583
217696913,resort,close,POS,0.9717
217696913,resort,affordable,POS,0.9972
217696913,price,Budget,POS,0.948
217696913,pool,loved,POS,0.9764
207804376,location,great,POS,1.0
207804376,lounges,new,POS,0.9989
207804376,bathrooms,clean,POS,0.8518
207804376,shopping,clean,POS,0.8252
207070237,experience,great,POS,1.0
207070237,hotel,humble,POS,1.0
207070237,breakfast,laughable,POS,0.9786
207070237,breakfast,sufficient,NEU,0.9169
142685672,Pool,lovely,POS,1.0
142685672,gardens,pretty,POS,1.0
130559223,sheets,clean,POS,1.0
130559223,staff,clean,POS,1.0
130559223,sheets,friendly,POS,0.8127
130559223,staff,friendly,POS,1.0
116001939,hotel,beautiful,POS,1.0
116001939,pool,great,POS,1.0
116001939,rooms,basic,NEU,0.9999
116001939,bathroom,small,NEG,0.9998
116001939,walls,thin,NEG,1.0
116001939,Staff,friendly,POS,1.0
116001939,Staff,helpful,POS,1.0
92852386,stay,enjoyed,POS,0.9776
92852386,staff,enjoyed,POS,0.8322
92852386,staff,fantastic,POS,1.0
92852386,staff,helpful,POS,0.9667
92852386,rooms,helpful,POS,0.9387
92852386,rooms,cleaned,POS,0.9997
92852386,room,basic,NEU,1.0
92852386,balcony,nice,POS,0.988
92852386,pool,nice,POS,0.9818
92852386,breakfast,pritty,POS,0.7937
92852386,breakfast,basic,NEU,1.0
74857121,situated,ideally,POS,1.0
74857121,bathroom,clean,POS,1.0
29162261,rooms,basic,NEU,1.0
29162261,breakfast,basic,NEU,1.0
493882930,place,horrible,NEG,1.0
493882930,breakfast,rubbish,NEG,0.9991
493882930,breakfast,basic,NEU,0.5108
493882930,rooms,basic,NEU,1.0
492638943,bathroom,clogged,NEG,1.0
492638943,Breakfast,decent,POS,0.9658
457745719,hotel,love,POS,1.0
457745719,room,big,POS,1.0
324315173,room,clean,POS,1.0
324315173,room,comfortable,POS,0.9999
324315173,room,tidy,POS,1.0
324315173,aircon,perfectly,POS,0.8253
324315173,room,lovely,POS,0.9983
324315173,breakfasts,enjoyed,POS,1.0
324315173,pool,enjoyed,POS,1.0
324315173,location,excellent,POS,0.9997
323343135,hotel,fine,POS,1.0
323343135,hotel,good,POS,1.0
323343135,food,good,POS,1.0
298999201,Rooms,clean,POS,1.0
298999201,grounds,neat,POS,1.0
298999201,grounds,tidy,POS,0.9999
298999201,staff,friendly,POS,1.0
298999201,food,good,POS,0.6081
298999201,price,good,POS,0.9999
298999201,location,good,POS,1.0
250458639,Rooms,spacious,POS,0.9985
250458639,Staff,spacious,POS,0.685
250458639,Bed,hard,NEG,0.6649
250458639,Bed,comfy,POS,0.9271
250458639,bed,bugs,NEG,0.9878
250458639,resorts,smelly,NEG,0.7969
250458639,Towels,old,NEG,0.9956
250458639,Breakfast,reasonable,POS,0.6886
250458639,Staff,fantastic,POS,1.0
247485586,Rooms,comfortable,POS,0.9999
247485586,pool,Excellent,POS,1.0
247485586,staff,friendly,POS,1.0
247485586,food,Great,POS,0.956
247485586,price,great,POS,1.0
237192799,Room,acceptable,NEU,0.9736
237192799,floor,filthy,NEG,0.9995
237192799,wardrobes,sandy,NEG,0.6053
237192799,wardrobes,gross,NEG,0.9988
237192799,lighting,appalling,NEG,0.9929
214747320,hotel,cheap,POS,1.0
214747320,rooms,reasonable,POS,1.0
214747320,breakfast,noisy,NEG,0.977
214747320,breakfast,limited,NEG,1.0
214747320,staff,helpfull,POS,0.9997
207448181,hotel,amazing,POS,1.0
207448181,hotel,closer,POS,0.9996
207448181,hotel,fantastic,POS,0.6007
207448181,Rooms,clean,POS,1.0
207448181,breakfast,modern,POS,0.9995
207448181,Rooms,modern,POS,1.0
207448181,wifi,modern,POS,0.9962
207448181,wifi,Free,POS,1.0
207448181,breakfast,ok,NEU,0.7642
207448181,Breakfast,ok,NEU,1.0
201968109,hotel,Nice,POS,0.9998
201968109,hotel,clean,POS,1.0
201968109,hotel,cheap,POS,1.0
201968109,room,big,POS,1.0
186211023,staff,smiling,POS,1.0
186211023,staff,friendly,POS,1.0
184207132,deal,cheap,POS,0.9961
184207132,rooms,large,POS,1.0
184207132,rooms,clean,POS,1.0
