Target,Frequency
money,58
hotel,846
room,1551
wifi,82
beach,174
mall,28
bed,153
shower,60
garden,21
no towel,1
pool,368
breakfast,602
queen size bed,1
people,36
pet,1
accommodation,19
location,512
chilled out people,1
taxi,7
seminar beach,1
price,190
pool area,26
building work,1
staff,1246
walk,4
view,70
bedroom,8
service,321
parking,4
security,9
manager,12
cocktail,5
break,7
place,184
photo,6
bathroom,170
shower drains,1
shower temperature,2
stay,131
reply,1
good sleep,1
it,43
menu,27
facility,84
daily compliment water,1
refrigerator,2
buffet drink,1
fruit,6
icon,27
action,1
concept,5
design,10
detail soup,2
value,28
air - conditioning,2
room service,28
boutique hotel,2
here,9
gym,15
property,28
service etiquette,2
communication skills,1
reception,20
toothbrush,4
tooth paste,1
budget hotel,14
morning bites,1
non smoking room,1
star,7
food in the restaurant,2
places down the road,1
everything else,2
airport,101
book,3
food,295
meeting room,4
lcd projector,1
sound system,3
amenity,30
free wifi,5
room 407,1
bolster,1
swimming pool,72
bb,1
server,2
water,22
surf,1
deal,8
lobby,12
service staff,1
holiday booking,2
photo ' s,1
ground,11
tower,43
restaurant,165
atmosphere,19
bali attractions,1
locate,42
girl in the reception,1
cost,4
overall,21
speaking english,1
2nd wooden floor,1
my kids,1
pace,1
experience,62
money changes,2
shop,29
grocery shop,1
spazzio,1
backpack,1
orange - orange dengan budget terbatas,1
roof top pool,12
ska beach inn,1
legion,6
nightlife,4
kata beach,41
maintenance,9
restaurant staff,4
management,11
it ' s,10
yaman roman hotel,1
balcony,22
they,12
rooftop pool,34
get a cab,1
rent a bike,1
no,3
toilet,38
pillow,20
guest relation,1
combination,1
receptionist,13
family,3
couple trip,1
transit room,1
room cleanliness,2
all,7
dont have any room,1
roof swinging pool,1
wall,14
coach,1
au,4
kris,2
lift,10
everything,54
indian restaurants,2
bedsheets,3
reservation process,1
find food,1
walking distance,3
souvenir,2
bath room,7
tea,5
coffee,13
budget,19
street,3
kata center,2
business spot,1
loving beach hotel,1
man in charge,1
guests responsibility,1
ac,28
breakfast selection,3
lounge,9
pool bar,7
get served drinks,1
discovery shopping mall,1
environment,17
kata,21
make,2
dinner service,1
stay experience,1
yaman roman,1
jl petitinget,1
nearby restaurants,1
bath rooms,2
large pool,1
grass,1
hotel room,9
aircond,3
bed sheet,6
minimal,3
welcome drink,2
shower gel,2
conditioner,1
shampoo,2
toiletry,7
souvenir shops,1
beauty centers,1
quieter,1
the price,3
breakfast offering,1
audience,12
lobby area,1
petitenget - seminar area,1
rice paddy field,1
spot hotel,1
busy noise,1
city center,4
lio mall,7
internet in lobby,1
shower water,2
service desk,1
cup,1
tv,16
honeymoon setup,1
area,18
check,5
fame hotel,7
pelayanannya,1
internet,28
access,9
souvenir seller,1
building,7
rent motorbike,1
room design,3
legion beach,1
wi - fi connection,3
friendly,3
parking lot,2
small,2
discovery mall,10
cleanliness,21
other options,1
hairdryer,2
hot kettle,1
interior,8
we,1
sewerage,1
different cuisine,1
every thing,1
bottle opener,1
bar snacks,1
thing,3
welcome,4
complain,2
convenient store,4
front desk staff,1
solar,9
ryan,2
nasa going,1
entertainment,4
culinary center,1
souvenir shop,1
front officer,1
electric water boiler,1
hair dryer,1
check out,4
check in,17
staff ( au ),1
local kata market,1
indian joints,1
fridge,11
air con,10
generally,1
internet connection,9
buffet breakfast,27
transport,5
rooftop infinity pool with swim up bar,1
excellent,3
good,6
light,8
its,11
sink,4
cr,2
breakfast menu,5
pumpkin curry,1
beach kata,1
kitchen sanitation,1
hygiene,3
check in process,1
rooms furniture,1
fixture,5
shopping mall,10
street view,2
places to eat,1
shuttle bus,4
super markets,1
shopping malls,4
kata shopping area,1
second stay,1
potato beach club,1
butcher house,1
attraction,2
la novela,1
the holy crab,1
beachwalk mall,1
filthy,1
color of the decoration,1
renovation,3
live music in the bar,1
meal,12
lunch,3
quality hotel,1
not too spacious,1
explain,1
apartment,5
free airport transport,1
blackout,1
motel,1
kata markets,1
whistle,1
bell,1
comfort,2
beer,4
icy cold,1
stop,1
happy hour,1
job,4
position,11
coffee shops,1
sunset,4
alliance,9
side stalls,1
sky pool,1
can ' t sleep,1
shuttle,4
interior design,2
construction,2
inside,1
nice restaurants,1
taste,10
popular beach bar,1
quiet,1
hospitality,17
live music,4
mint and potato head,1
air conditioner,12
stayed,10
mattress,8
infinity pool,2
value for money,13
time,11
spa,37
waterbody,2
room facilities,4
driver,2
wait,1
surroundings,5
breakfast area,2
music,4
roof,2
linen,7
kids facilities,1
car parking lot,1
menu choice,1
lower rooms,1
improvement,1
furniture,13
hospital,1
car,1
motorcycle parking space,1
door,6
large groups come,1
others things,1
clothes,2
wallpaper,2
room decoration,2
lobby design,2
tourist attractions,2
city,2
private beach,3
nice,5
german beach,1
place to stay,5
required information,1
communication,2
question,1
asst front office manager,1
senior sales manager,1
sleep,15
hotel rent car,1
food court,2
quality,11
room sandals,1
maintain,1
legion street night life,1
rainy day,1
motorbike,2
stop over,1
breakfast variety,1
air conditioning,6
bathtub,2
suite room,1
rooftop restaurant,4
told for superior room,1
cleartrip,1
krishna souvenir shop,1
ocean view,1
bar / restaurants,1
store,3
staffer,2
rest,8
main road,5
interior rooms,1
bike rental,3
mini mart,2
massage parlor,1
pub,1
walk around,1
spend,1
toilet paper,2
sheet,23
graffiti,1
check in / out process,1
nearest mall,1
bicycle,2
premise,1
tourist attraction,1
beaches nearby,1
white bread,1
hotel & villa,1
otherwise,1
juice,5
bacon,1
person,7
prize,1
standard,2
actress,1
bed bugs,2
monkey,1
themanagement / owner,1
health,1
swimingpool,1
booking in,1
mat,1
resort,23
visit,3
corner rooms,1
new room,1
free shuttle,2
bar,27
main street,3
hotel area,3
dinner,9
bungalow,2
maintainence,1
bathroom clean,1
upgrade,2
tile,1
cold water,1
water pressure,8
dreamland beach,4
google maps,1
seminar,6
smell,5
shower doors,1
paint,3
wifi connection,2
condition,3
loving beach,1
breakfast choices,2
water park,1
privacy,1
everyone,12
speaks,1
customer service,14
rate,9
chair,1
table,3
kettle,3
microwave,1
growing table,1
iron,2
save money,1
clean,7
pageview,2
sleeping quality,1
for families,2
cable tv,2
mini fridge,1
hot water,18
staff friendlies,1
shopping,16
mr . ani & mr . ages,1
holiday,7
management staff,1
window,12
traffic noise,1
room wifi,1
built,1
traffic,3
tv ' s channels,1
movie,1
good things,1
room amenities,5
toilet door,2
sunset over the pool,1
chicken teriyaki burger,1
kata main drag,1
connected room,1
shopping area,6
double six beach,2
kata seminar area,1
traveler,1
scooter,4
swimming poll,1
shops / restaurants,1
basic hotel amenities,1
announcement,1
apologize,1
night,7
hotel attendants,2
signal,1
vegetarian,1
room in ground floor,2
neural rai airport,2
anywhere,2
kata art market,2
shopping street,1
cab,2
checking out,2
swimmingpool,6
room 318,1
stain,1
blanket,1
towel,9
spot,4
scene,2
massage,18
this category,1
dei,2
supermarket,3
breakfast buffet,10
public transport,1
price / quality,1
worker,4
decor,5
mosquito,3
have to buy drink,1
backpacker,3
garlic bread,1
pizza,3
second drink,1
reduce plastic,1
restaurant in the evening,2
bed linen,1
mosquito coil,1
choices at breakfast,1
noise,7
size portions,1
bed sheets,9
situation,3
mercury harvestland kata,1
aspect,2
room toilet,1
air ventilation,1
discovery,2
cockroach,2
bug,3
uni,2
conversation,1
water shower,3
tv cable channel,1
new linen,1
night club,3
shopping centre,4
cinema,2
every penny,1
market stalls,1
beach walk mall,1
luggage up and down,1
motorbike rental,1
airport shuttle,1
elevator,5
room 106,1
pharmacy,1
mini market,5
quality of the rooms,1
grill smoke,1
date,1
steak sandwiches,1
restaurant food,1
mixes for the cocktails,1
spa treatments,1
price per night,1
dining room,1
power cut,1
water ran out,1
black bali coffee,1
shopping spots,1
lio mall kata,1
late check,1
mercury standard,1
place to hang out,1
tap,2
voices outside,1
pay,3
smile,1
hand,1
motorcycle,2
